Vendor,Material Number,Vendor material Description,Manufacturer Material,Substitute Material,Ven. Part. Desc.,Customer Price,Avail. Flag,Available Qnty,Matl Stat.,Part Type,Media Type,Retail Price,Rebate Price,Rebate ST. Date,Rebate EN. Date,UPC Code,Planned Deliv. Time,Apple Material Description 
''0400001593,HJKF2ZM/A,BK/F2CU040DSWHTAPL,F2CU040dsWHTAPL,,BELKIN USB-C TO ETHERNET ADAPTER-ZM,76.45,Y,30.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USB-C TO ETHERNET ADAPTER-ZML 
''0400001593,HKQ22ZM/A,BK/F2CU038DSWHTAPL,F2CU038DSWHTAPL,,BELKIN USB-C to HDMI Adapter-ZML,165.53,Y,12.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USB-C to HDMI Adapter-ZML 
''0400001593,HLL52ZM/A,BK/AV10175DS2M-BLK,AV10175DS2M-BLK,,BELKIN ULTRA HD HDMI CABLE 2M-ZML,122.25,Y,36.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN ULTRA HD HDMI CABLE 2M-ZML 
''0400001593,HMYC2ZM/A,MP/409903183,409903183,,MOPHIE USB-C to Lightning 1m Cable-,50.32,Y,32.000,,,,,0.00,19700101,19700101,''745883702015,14,MOPHIE USB-C to Lightning 1m Cable-ZML 
''0400001593,HP312PA/A,LG/920-009617,920-009617,,LOGI COMBO TCH KYB IPAD 9/8/7GEN BL,520.91,Y,16.000,,,,,0.00,19700101,19700101,''745883702015,14,LOGI COMBO TCH KYB IPAD 9/8/7GEN BLK-PAC 
''0400001593,HPLW2PA/B,LG/920-011729,920-011729,,LOGITECH COMBO TOUCH IPAD PRO 11-PA,666.44,Y,16.000,,,,,0.00,19700101,19700101,''745883702015,14,LOGITECH COMBO TOUCH IPAD PRO 11-PAC 
''0400001593,HPLX2PA/B,LG/920-011704,920-011704,,LOGITECH COMBO TOUCH IPADPRO12.9 5T,761.57,Y,16.000,,,,,0.00,19700101,19700101,''745883702015,14,LOGITECH COMBO TOUCH IPADPRO12.9 5TH-PAC 
''0400001593,HPNF2PA/B,LG/920-011647,920-011647,,LOGITECH COMBO TOUCH IPAD AIR 4G GY,666.44,Y,8.000,,,,,0.00,19700101,19700101,''745883702015,14,LOGITECH COMBO TOUCH IPAD AIR 4G GY-PAC 
''0400001593,HPS82ZM/A,MP/409908863,409908863,,MOPHIE USB-C TO LIGHTNING CABLE 3M-,75.66,Y,32.000,,,,,0.00,19700101,19700101,''745883702015,14,MOPHIE USB-C TO LIGHTNING CABLE 3M-ZML 
''0400001593,HPS92ZM/A,MP/409908442,409908442,,MOPHIE USB-C TO USB-C CABLE 3M-ZML,47.83,Y,32.000,,,,,0.00,19700101,19700101,''745883702015,14,MOPHIE USB-C TO USB-C CABLE 3M-ZML 
''0400001593,HPSA2ZM/A,MP/409908439,409908439,,MOPHIE USB-C TO USB-C CABLE 2M-ZML,37.75,Y,32.000,,,,,0.00,19700101,19700101,''745883702015,14,MOPHIE USB-C TO USB-C CABLE 2M-ZML 
''0400001593,HPT82ZM/A,BK/MMA005DSBK,MMA005DSBK,,BELKIN Fitness Mount with MagSafe-Z,105.06,Y,12.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN Fitness Mount with MagSafe-ZML 
''0400001593,HPYD2ZM/A,BK/CAB011DS1MW,CAB011DS1MWH,,BELKIN USBC CHRG CABLE+STRAP 1M WHT,40.79,Y,48.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USBC CHRG CABLE+STRAP 1M WHT-ZML 
''0400001593,HPYG2ZM/A,BK/CAA011DS1MWH,CAA011DS1MWH,,BELKIN USBC TO LTNG CBL+STRAP 1M WH,55.70,Y,12.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USBC TO LTNG CBL+STRAP 1M WHT-ZML 
''0400001593,HPYK2ZM/A,BK/CAA011DS3MWH,CAA011DS3MWH,,BELKIN USBC TO LTNG CBL+STRAP 3M WH,79.18,Y,12.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USBC TO LTNG CBL+STRAP 3M WHT-ZML 
''0400001593,HPYL2ZM/A,BK/CAA010DS1MWH,CAA010DS1MWH,,BELKIN USBA TO LTNG CBL+STRAP 1M WH,55.70,Y,12.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USBA TO LTNG CBL+STRAP 1M WHT-ZML 
''0400001593,HPYM2ZM/A,BK/CAA010DS3MWH,CAA010DS3MWH,,BELKIN USBA TO LTNG CBL+STRAP 3M WH,79.18,Y,12.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USBA TO LTNG CBL+STRAP 3M WHT-ZML 
''0400001593,HQ352ZM/A,MP/401109565,401109565,,MOPHIE PWRSTN PRO 25K BATTERY-ZML,562.06,Y,10.000,,,,,0.00,19700101,19700101,''745883702015,14,MOPHIE PWRSTN PRO 25K BATTERY-ZML 
''0400001593,HQ362ZM/A,MP/401109564,401109564,,MOPHIE POWRSTN PRO 20K BATTERY-ZML,366.39,Y,10.000,,,,,0.00,19700101,19700101,''745883702015,14,MOPHIE POWRSTN PRO 20K BATTERY-ZML 
''0400001593,HQ372ZM/A,MP/401109562,401109562,,MOPHIE PWRSTN 10K BATT WITH CABLES-,337.01,Y,20.000,,,,,0.00,19700101,19700101,''745883702015,14,MOPHIE PWRSTN 10K BATT WITH CABLES-ZML 
