DocNo	DocDate	AgentID	AdjType	Location	BinNo	ItemNo	UOM	Qty	FromDate	ToDate	Reason	Status	
MDO0012762	17-10-2024 00:38:15	ADMIN	+ve Adjustment	FREEZER	FL203.01.01	FF204004	PKT	78	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Stock Take Adjustment	Confirmed	
MDO0012759	16-10-2024 07:38:09	ADMIN	+ve Adjustment	FREEZER	FL203.01.01	FF204004	PKT	198	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012756	16-10-2024 06:34:05	ADMIN	+ve Adjustment	FREEZER	FRECEIVING	FF435002	CT	9	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Discrepancies In Picking	Not Confirmed	
MDO0012763	17-10-2024 00:55:19	ADMIN	+ve Adjustment	FREEZER	FZ01	FF435002	PKT	54	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012776	17-10-2024 12:46:00	ADMIN	+ve Adjustment	FREEZER	R01.01.27	FRCHICKBLESSLEG200G2	PKT	1370	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Not Confirmed	
MDO0012777	17-10-2024 12:46:03	ADMIN	+ve Adjustment	FREEZER	R01.01.27	FRCHICKBLESSLEG200G2	PKT	1370	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Not Confirmed	
MDO0012778	17-10-2024 12:46:10	ADMIN	+ve Adjustment	FREEZER	R01.01.27	FRCHICKBLESSLEG200G2	PKT	1370	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012731	03-10-2024 09:09:58	ADMIN	+ve Adjustment	FREEZER	FRECEIVING	FRSFPD1KG	PKT	10	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012774	17-10-2024 10:48:01	ADMIN	+ve Adjustment	DRY	BLK02.01.13	K847005	PKT	13	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012752	15-10-2024 11:16:01	ADMIN	+ve Adjustment	AIRCON	AC01	KGFL16025	BAG	79	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012753	15-10-2024 11:16:08	ADMIN	+ve Adjustment	AIRCON	AC01	KGFL16025	BAG	79	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.03	MI1674153	CT	8	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.03	MI1674153	CT	7	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.03	MI1674153	CT	3	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.03	MI1674153	CT	2	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.03	MI1674153	CT	3	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.05	MI1674153	CT	2	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.05	MI1674153	CT	10	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.05	MI1674153	CT	12	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.06	MI1674153	CT	17	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.06	MI1674153	CT	4	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012765	17-10-2024 07:25:16	ADMIN	+ve Adjustment	DRY	BLK03.05.06	MI1674153	CT	5	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012764	17-10-2024 07:00:26	ADMIN	+ve Adjustment	DRY	BLK05.04.31	PIOKASU5000	TUB	1	01-10-2024 00:00:00	18-10-2024 00:00:00	(ADD)Cycle Count Adjustment	Confirmed	
MDO0012720	02-10-2024 06:36:13	ADMIN	+ve Adjustment	FREEZER	FL204.02.05	RMVEBRCOLI	PKT	60	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012720	02-10-2024 06:36:13	ADMIN	+ve Adjustment	FREEZER	FL204.02.05	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012720	02-10-2024 06:36:13	ADMIN	+ve Adjustment	FREEZER	FL204.03.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012720	02-10-2024 06:36:13	ADMIN	+ve Adjustment	FREEZER	FL204.03.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012720	02-10-2024 06:36:13	ADMIN	+ve Adjustment	FREEZER	FL204.04.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012720	02-10-2024 06:36:13	ADMIN	+ve Adjustment	FREEZER	FL204.04.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012720	02-10-2024 06:36:13	ADMIN	+ve Adjustment	FREEZER	FL204.05.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012720	02-10-2024 06:36:13	ADMIN	+ve Adjustment	FREEZER	FL204.05.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012721	02-10-2024 06:41:12	ADMIN	+ve Adjustment	FREEZER	FL204.02.05	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012721	02-10-2024 06:41:12	ADMIN	+ve Adjustment	FREEZER	FL204.02.05	RMVEBRCOLI	PKT	60	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012721	02-10-2024 06:41:12	ADMIN	+ve Adjustment	FREEZER	FL204.03.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012721	02-10-2024 06:41:12	ADMIN	+ve Adjustment	FREEZER	FL204.03.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012721	02-10-2024 06:41:12	ADMIN	+ve Adjustment	FREEZER	FL204.04.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012721	02-10-2024 06:41:12	ADMIN	+ve Adjustment	FREEZER	FL204.04.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012721	02-10-2024 06:41:12	ADMIN	+ve Adjustment	FREEZER	FL204.05.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012721	02-10-2024 06:41:12	ADMIN	+ve Adjustment	FREEZER	FL204.05.09	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
MDO0012722	02-10-2024 06:43:16	ADMIN	+ve Adjustment	FREEZER	FL204.02.05	RMVEBRCOLI	PKT	420	01-10-2024 00:00:00	18-10-2024 00:00:00	Inventory Misplaced	Confirmed	
