ScreenName	FieldName	DefaultText	NewText	HeaderHeight	HeaderWidth	ValueHeight	ValueWidth	HAlignment	HForeColor	HBackColor	VForeColor	VBackColor	VAlignment	HFont	HFontSize	HFontStyle	VFont	VFontSize	VFontStyle	DisplayNo	HForeColorName	HBackColorName	VForeColorName	VBackColorName	DataMember	IsHidden	Language	DefaultValue	Visible	SolutionName	ts	FieldControl	ShowBorder	BorderColor	DataMemberType	LineIndex	AccessLevel
NewCustomer	DeliveryCode	Delivery Code	Delivery Code	31	25	31	25	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	16.2	White	Red	White	Red	DeliveryCode	NULL	English		NULL	SALES	0x0000000000000B83	COMBOBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	DeptCode	DeptCode	Department	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	18	White	Red	White	Red	DeptCode	NULL	English		NULL	SALES	0x0000000000000B84	COMBOBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	CancelBtn	CancelBtn	Cancel	40	25	40	12	2	-1	-14737633	-14737633	16718362	3	Tahoma	16	0	Tahoma	14	0	19.1	White	Red	White	Red	EditBtn	NULL	English	EDIT	NULL	SALES	0x0000000000000B85	BUTTON	NULL	-16777216	STRING	4	NULL
NewCustomer	SaveBtn	SaveBtn	Save	40	70	40	12	2	-1	-14737633	-14737633	45824	3	Tahoma	21	0	Tahoma	14	0	19.2	White	Red	White	Red	SaveBtn	NULL	English	 SAVE 	NULL	SALES	0x0000000000000B86	BUTTON	NULL	-16777216	STRING	2	4
FormStatus	BillAdd1	Bill Address1	Bill to Address	30	40	30	100	2	-1	16777215	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	12	White	Red	White	Red	BillAdd1	NULL	English		NULL	SALES	0x0000000000000C37	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	BillAdd2	Bill Address2	Bill Address2	30	40	30	100	2	-1	16777215	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	13	White	Red	White	Red	BillAdd2	NULL	English		NULL	SALES	0x0000000000000C39	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	BillAdd3	Bill Address3	Bill Address3	30	40	30	100	2	-1	16777215	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	14	White	Red	White	Red	BillAdd3	NULL	English		NULL	SALES	0x0000000000000C3A	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	Title	 TITLE	NEW CUSTOMER	30	40	30	100	0	-1	16777215	-1	16777215	0	Tahoma	24	100	Tahoma	16	0	0	White	Red	White	Red	Title	NULL	English		NULL	SALES	0x0000000000000C3B	LABEL	NULL	-16777216	STRING	0	NULL
FormStatus	Line		Line	30	40	30	100	0	0	16777215	-1	16777215	0	Tahoma	16	0	Tahoma	18	0	1	White	Red	White	Red		NULL	English		NULL	SALES	0x0000000000000C3D	LINE	NULL	-16777216	STRING	1	NULL
FormStatus	CustomerName	Name	Company	30	40	30	100	2	-1	16777215	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	2	White	Red	White	Red	CustomerName	NULL	English		NULL	SALES	0x0000000000000C3E	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	Nickname	Nick Name	Nick Name	30	40	30	100	2	-1	16777215	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	3	White	Red	White	Red	Nickname	NULL	English		NULL	SALES	0x0000000000000C3F	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	Address	Address	Delivery Address	30	40	30	100	2	-1	16777215	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	4	White	Red	White	Red	Address	NULL	English		NULL	SALES	0x0000000000000C40	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	Address2		Delivery Address 2	30	40	30	100	2	-1	16777215	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	5	White	Red	White	Red	Address2	NULL	English		NULL	SALES	0x0000000000000C41	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
Dashboard	SalesType	Sales Type		0	0	0	100	0	0	16777215	-1	16777215	0	Tahoma	16	0	Tahoma	18	0	5	White	Red	White	Red	SalesType	NULL	English		NULL	SALES	0x0000000000000C42	LABEL	NULL	-16777216	STRING	NULL	NULL
Dashboard	Image	Image		200	0	200	100	2	0	16777215	-1	16777215	0	Tahoma	16	0	Tahoma	18	0	2	White	Red	White	Red	Image	NULL	English		NULL	SALES	0x0000000000000C43	IMAGE	NULL	-16777216	STRING	NULL	NULL
Dashboard	Message	Message		58	0	58	100	0	0	16777215	-1	16777215	0	Tahoma	16	0	Tahoma	18	0	3	White	Red	White	Red	Message	NULL	English		NULL	SALES	0x0000000000000C44	LABEL	NULL	-16777216	STRING	NULL	NULL
Dashboard	AgentName	Agent Name		58	0	58	100	0	0	16777215	-1	16777215	0	Tahoma	16	0	Tahoma	18	0	4	White	Red	White	Red	AgentName	NULL	English		NULL	SALES	0x0000000000000C45	LABEL	NULL	-16777216	STRING	NULL	NULL
Dashboard	Hidden			58	0	58	100	0	0	16777215	-1	16777215	0	Tahoma	16	0	Tahoma	18	0	6	White	Red	White	Red	Empty	NULL	English		NULL	SALES	0x0000000000000C46	LABEL	NULL	-16777216	STRING	NULL	NULL
Dashboard	sDash			360	0	172	100	2	0	16777215	-1	16777215	0	Tahoma	16	0	Tahoma	18	0	8	White	Red	White	Red	sDash	NULL	English	Main	NULL	SALES	0x0000000000000C47	DASHBOARD	NULL	-16777216	STRING	NULL	NULL
Dashboard	Line2			10	100	10	0	0	0	-14737633	-1	-14737633	0	Tahoma	16	0	Tahoma	18	0	7	White	Red	White	Red	Line2	NULL	English		NULL	SALES	0x0000000000000B96	LINE	NULL	-16777216	STRING	NULL	NULL
NewCustomer	BillAdd1	Bill Address1	Bill to Address	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	12	White	Red	White	Red	BillAdd1	NULL	English		NULL	SALES	0x0000000000000B97	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	BillAdd2	Bill Address2	Bill Address2	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	13	White	Red	White	Red	BillAdd2	NULL	English		NULL	SALES	0x0000000000000B98	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	BillAdd3	Bill Address3	Bill Address3	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	14	White	Red	White	Red	BillAdd3	NULL	English		NULL	SALES	0x0000000000000B99	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	city	City	City	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	6.1	White	Red	White	Red	city	NULL	English		NULL	SALES	0x0000000000000C34	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
